0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,
19,54,109,188,243,329,400,516,635,754,897,1035,1209,1407,1608,1858,2168,2467,2804,3191,3594,4072,4643,5274,5961,6813,7765,8768,9891,11147,12512,13990,15589,17416,19418,21529,23915,26482,29332,32502,35854,39689,43820,48410,53298,58638,64482,70984,77739,85262,93431,102475,112249,122821,134411,146873,160325,175056,190971,208033,
54,55,86,98,131,137,191,262,290,410,546,703,817,1014,1226,1613,1880,2475,2923,3357,3893,4484,5181,5841,6698,7822,8852,10158,11513,13002,14776,16146,18105,20754,24324,26350,29433,31981,33940,36897,39509,45351,48426,50646,53739,57300,62658,68606,74401,80115,85973,92676,98522,104189,109740,115909,121301,126004,130716,135464,
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,7,11,16,17,22,25,30,35,39,45,51,64,71,84,97,112,128,138,165,179,202,224,259,294,348,390,441,507,573,649,718,800,887,968,1057,1164,1310,1423,1559,1716,1907,2091,2317,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,160,290,481,744,1076,1477,1974,2577,3302,4139,5119,6243,7552,9047,10751,12738,15002,17563,20488,23780,27504,31708,36527,41946,48131,55162,63103,72026,82116,93437,106116,120239,135940,153503,172947,194565,218509,245079,
